id,animal_category,disease,sym_part,symptom,url
984,フェレット,心筋症（拡張型・肥大型） <フェレット>,呼吸の異常,['呼吸が荒い'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1163?breed=05999
985,フェレット,心筋症（拡張型・肥大型） <フェレット>,その他の症状,['お腹が膨れる'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1163?breed=05999
986,フェレット,インスリノーマ膵島細胞腫 <フェレット>,意識・状態の異常,['ぐったりしている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1171?breed=05999
987,フェレット,骨折 <フェレット>,意識・状態の異常,['震えている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1164?breed=05999
988,フェレット,骨折 <フェレット>,歩き方・座り方の異常,['足を挙げてあるく' '足を触られるのを嫌がる' '足が腫れている' '立てない' '歩き方がおかしい'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1164?breed=05999
989,フェレット,破傷風 <フェレット>,意識・状態の異常,['震えている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1184?breed=05999
990,フェレット,インフルエンザ <フェレット>,その他の症状,['その他'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1174?breed=05999
991,フェレット,脊索腫（せきさくしゅ） <フェレット>,その他の症状,['その他'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1175?breed=05999
992,フェレット,副腎腫瘍 <フェレット>,その他の症状,['その他'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1176?breed=05999
993,フェレット,脾腫 <フェレット>,その他の症状,['その他'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1177?breed=05999
994,フェレット,エストロジェン過剰症 <フェレット>,その他の症状,['その他'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1172?breed=05999
995,フェレット,アリューシャン病 <フェレット>,その他の症状,['その他'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1173?breed=05999
